DEPTH,VCL
3391.4246,0.4169
3391.5769,0.4481
3391.7292,0.4657
3391.8816,0.4425
3392.0339,0.3968
3392.1865,0.3507
3392.3389,0.3404
3392.4912,0.3685
3392.6436,0.4227
3392.7961,0.4874
3392.9485,0.5209
3393.1008,0.5457
3393.2532,0.5422
3393.4058,0.5315
3393.5581,0.5058
3393.7104,0.5156
3393.8628,0.5469
3394.0151,0.5639
3394.1677,0.5821
3394.3201,0.619
3394.4724,0.6532
3394.6248,0.651
3394.7773,0.6257
3394.9297,0.6096
3395.082,0.5748
3395.2344,0.5325
3395.387,0.4621
3395.5393,0.4687
3395.6917,0.4856
3395.844,0.5055
3395.9963,0.4777
3396.1489,0.4455
3396.3013,0.4641
3396.4536,0.5061
3396.606,0.5325
3396.7585,0.534
3396.9109,0.5498
3397.0632,0.5562
3397.2156,0.5406
3397.3679,0.5157
3397.5205,0.5263
3397.6729,0.5313
3397.8252,0.5223
3397.9775,0.5124
3398.1301,0.5103
3398.2825,0.5791
3398.4348,0.686
3398.5872,0.7963
3398.7397,0.8296
3398.8921,0.8006
3399.0444,0.7753
3399.1968,0.8038
3399.3491,0.8631
3399.5017,0.9178
3399.6541,0.8928
3399.8064,0.8114
3399.9587,0.6952
3400.1113,0.5661
3400.2637,0.449
3400.416,0.3652
3400.5684,0.3619
3400.7209,0.3771
3400.8733,0.4119
3401.0256,0.4276
3401.178,0.4283
3401.3303,0.4303
3401.4829,0.4401
3401.6353,0.4648
3401.7876,0.5014
3401.9399,0.5658
3402.0925,0.667
3402.2449,0.7659
3402.3972,0.7676
3402.5496,0.6965
3402.7021,0.6322
3402.8545,0.6003
3403.0068,0.5487
3403.1592,0.4894
3403.3115,0.4946
3403.4641,0.5253
3403.6165,0.5236
3403.7688,0.4188
3403.9211,0.2954
3404.0737,0.228
3404.2261,0.1957
3404.3784,0.1767
3404.5308,0.1497
3404.6833,0.1393
3404.8357,0.1755
3404.988,0.2587
3405.1404,0.3777
3405.2927,0.5055
3405.4453,0.6128
3405.5977,0.7184
3405.75,0.7896
3405.9023,0.8539
3406.0549,0.8823
3406.2073,0.8839
3406.3596,0.8616
3406.512,0.8595
3406.6646,0.8514
3406.8169,0.8027
3406.9692,0.7513
3407.1216,0.7098
3407.2739,0.7555
3407.4265,0.7742
3407.5789,0.7895
3407.7312,0.7667
3407.8835,0.6753
3408.0361,0.4681
3408.1885,0.262
3408.3408,0.1273
3408.4932,0.069
3408.6458,0.0967
3408.7981,0.1649
3408.9504,0.2574
3409.1028,0.3342
3409.2551,0.3368
3409.4077,0.296
3409.5601,0.249
3409.7124,0.2212
3409.8647,0.2057
3410.0173,0.1872
3410.1697,0.1399
3410.322,0.1009
3410.4744,0.0964
3410.627,0.155
3410.7793,0.2407
3410.9316,0.2907
3411.084,0.3243
3411.2363,0.3327
3411.3889,0.4117
3411.5413,0.5266
3411.6936,0.59
3411.8459,0.5911
3411.9985,0.5663
3412.1509,0.5499
3412.3032,0.54
3412.4556,0.5062
3412.6082,0.5141
3412.7605,0.5709
3412.9128,0.6982
3413.0652,0.8055
3413.2175,0.8646
3413.3701,0.8789
3413.5225,0.8441
3413.6748,0.8057
3413.8271,0.7953
3413.9797,0.8067
3414.1321,0.7903
3414.2844,0.6928
3414.4368,0.6271
3414.5894,0.6255
3414.7417,0.6513
3414.894,0.6533
3415.0464,0.7048
3415.1987,0.7895
3415.3513,0.874
3415.5037,0.8719
3415.656,0.865
3415.8083,0.8677
3415.9609,0.8641
3416.1133,0.826
3416.2656,0.7657
3416.418,0.7637
3416.5706,0.7548
3416.7229,0.6792
3416.8752,0.5472
3417.0276,0.4882
3417.1799,0.6014
3417.3325,0.7487
3417.4849,0.8695
3417.6372,0.8802
3417.7896,0.8741
3417.9421,0.858
3418.0945,0.8474
3418.2468,0.8208
3418.3992,0.7635
3418.5518,0.6852
3418.7041,0.6227
3418.8564,0.582
3419.0088,0.6316
3419.1611,0.7162
3419.3137,0.7906
3419.4661,0.8299
3419.6184,0.8617
3419.7708,0.9158
3419.9233,0.9463
3420.0757,0.9312
3420.228,0.9007
3420.3804,0.8793
3420.533,0.8976
3420.6853,0.9311
3420.8376,0.9282
3420.99,0.9253
3421.1423,0.9041
3421.2949,0.8881
3421.4473,0.8465
3421.5996,0.7763
3421.752,0.7436
3421.9045,0.7391
3422.0569,0.7505
3422.2092,0.754
3422.3616,0.7435
3422.5142,0.7144
3422.6665,0.6864
3422.8188,0.6777
3422.9712,0.6742
3423.1235,0.6838
3423.2761,0.6871
3423.4285,0.717
3423.5808,0.7389
3423.7332,0.7432
3423.8857,0.7531
3424.0381,0.7492
3424.1904,0.747
3424.3428,0.7327
3424.4954,0.7382
3424.6477,0.7897
3424.8,0.8552
3424.9524,0.8974
3425.1047,0.9139
3425.2573,0.8932
3425.4097,0.8415
3425.562,0.856
3425.7144,0.9201
3425.8669,0.9855
3426.0193,1
3426.1716,1
3426.324,1
3426.4766,0.9774
3426.6289,0.8768
3426.7813,0.7393
3426.9336,0.6891
3427.0859,0.7003
3427.2385,0.7432
3427.3909,0.7502
3427.5432,0.6765
3427.6956,0.6115
3427.8481,0.6013
3428.0005,0.6673
3428.1528,0.7078
3428.3052,0.6836
3428.4575,0.632
3428.6101,0.5891
3428.7625,0.5789
3428.9148,0.6871
3429.0671,0.7842
3429.2197,0.88
3429.3721,0.8924
3429.5244,0.8265
3429.6768,0.6831
3429.8293,0.587
3429.9817,0.5851
3430.134,0.6806
3430.2864,0.7439
3430.4387,0.7472
3430.5913,0.7099
3430.7437,0.6944
3430.896,0.652
3431.0483,0.6371
3431.2009,0.6498
3431.3533,0.7187
3431.5056,0.8059
3431.658,0.8734
3431.8105,0.8946
3431.9629,0.8887
3432.1152,0.854
3432.2676,0.812
3432.4199,0.776
3432.5725,0.7587
3432.7249,0.7377
3432.8772,0.7318
3433.0295,0.7064
3433.1821,0.7197
3433.3345,0.7201
3433.4868,0.7164
3433.6392,0.738
3433.7917,0.7545
3433.9441,0.7453
3434.0964,0.7058
3434.2488,0.6905
